name/first;zip;gender;date;bool;bool;pick;phone;pick;pick;cargo
Eugenia;28691;Male;2000-09-15;false;false;ave maria;(832) 709-7401;sector1;commite2;FISCAL
Rena;75180;Female;2013-10-11;true;true;ave maria;(837) 886-1615;sector1;commite1;SECRETARIO
Randy;75151;Female;2003-11-10;false;true;ave maria;(276) 546-5076;sector3;commite2;PRESIDENTE
Lula;4848;Female;2000-05-11;false;true;un elefante se balanceaba;(581) 577-6278;sector1;commite3;TESORERO
Iva;97370;Male;2012-02-08;true;true;el hacha;(702) 666-2667;sector1;commite1;AUXILIAR
Susan;45263;Female;2013-05-15;true;false;un elefante se balanceaba;(226) 409-6707;sector3;commite2;PRESIDENTE
Keith;85016;Female;1998-12-22;true;true;un elefante se balanceaba;(349) 233-6027;sector1;commite2;TESORERO
Edwin;93736;Female;1988-07-14;false;true;un elefante se balanceaba;(573) 220-3353;sector2;commite3;NINGUNO
Daisy;69072;Female;2020-06-16;false;false;el hacha;(619) 371-3512;sector2;commite3;PRESIDENTE
Nathan;93432;Male;2006-10-03;true;false;un elefante se balanceaba;(311) 660-8681;sector1;commite3;NINGUNO
Lucile;19991;Male;2008-10-29;false;false;el hacha;(703) 323-6406;sector1;commite1;TESORERO
William;19934;Female;1994-01-07;false;true;el hacha;(257) 977-6139;sector3;commite1;VOCAL
Victor;78547;Female;2011-11-17;true;true;ave maria;(644) 342-2973;sector2;commite1;SECRETARIO
Belle;32328;Male;2006-01-26;true;true;un elefante se balanceaba;(779) 305-8223;sector2;commite3;FISCAL
Cynthia;73177;Male;2013-11-03;true;false;un elefante se balanceaba;(425) 911-3594;sector1;commite1;VOCAL
Frederick;47379;Female;1988-07-31;true;false;ave maria;(975) 496-2765;sector1;commite3;NINGUNO
Essie;92219;Male;2003-05-23;true;false;ave maria;(423) 547-8581;sector3;commite2;NINGUNO
Josephine;10957;Male;2014-01-01;false;true;ave maria;(683) 383-9248;sector3;commite1;SECRETARIO
Etta;20364;Male;1987-05-18;true;false;el hacha;(715) 581-2634;sector3;commite1;VOCAL
Francis;40690;Male;2007-02-07;true;true;ave maria;(220) 210-1157;sector3;commite3;AUXILIAR
Martin;87872;Female;1989-07-28;false;false;ave maria;(420) 992-6704;sector1;commite1;FISCAL
Milton;527;Male;2004-12-22;false;false;el hacha;(767) 555-4524;sector2;commite1;VICEPRESIDENTE
Roxie;74808;Female;2012-08-29;false;true;ave maria;(600) 817-5403;sector3;commite3;TESORERO
Maria;4263;Female;1992-12-30;false;false;un elefante se balanceaba;(469) 303-4053;sector3;commite2;TESORERO
Lucinda;52183;Male;1999-12-14;true;true;un elefante se balanceaba;(736) 810-5433;sector3;commite3;AUXILIAR
Nettie;33727;Female;2000-10-07;false;false;el hacha;(419) 276-7458;sector1;commite3;AUXILIAR
Joseph;82710;Female;1997-01-05;true;false;el hacha;(319) 390-5371;sector2;commite3;SECRETARIO
Eugene;6635;Female;2016-11-06;false;false;un elefante se balanceaba;(972) 391-3933;sector3;commite1;AUXILIAR
Adelaide;10370;Male;2011-07-25;false;true;un elefante se balanceaba;(244) 463-8696;sector2;commite2;PRESIDENTE
Jackson;16051;Female;1997-05-18;false;false;ave maria;(267) 409-5306;sector3;commite3;PRESIDENTE
Philip;92642;Female;1995-05-05;false;false;un elefante se balanceaba;(450) 250-6693;sector1;commite1;VICEPRESIDENTE
Justin;40963;Female;2021-05-06;true;false;ave maria;(937) 964-4184;sector3;commite3;SECRETARIO
Gavin;63820;Male;1989-02-26;false;true;un elefante se balanceaba;(938) 402-8385;sector2;commite2;PRESIDENTE
Ernest;91213;Female;2013-03-03;false;false;un elefante se balanceaba;(652) 667-7721;sector3;commite1;TESORERO
Gregory;9012;Female;2001-09-03;false;true;el hacha;(532) 433-7764;sector2;commite2;AUXILIAR
Jayden;98469;Male;1999-02-19;true;false;un elefante se balanceaba;(753) 672-1627;sector2;commite2;VOCAL
Brian;92982;Male;1999-11-25;false;true;un elefante se balanceaba;(763) 900-3232;sector2;commite2;PRESIDENTE
Allie;10257;Male;2000-01-27;false;true;el hacha;(729) 502-8359;sector3;commite3;VICEPRESIDENTE
Barry;58813;Male;2009-07-30;false;true;un elefante se balanceaba;(862) 633-7157;sector2;commite3;TESORERO
Phillip;43281;Female;1984-08-17;false;true;el hacha;(218) 421-4166;sector1;commite1;TESORERO
John;49691;Male;1982-10-25;false;false;un elefante se balanceaba;(582) 674-5630;sector2;commite1;AUXILIAR
Carolyn;19880;Male;2006-05-09;false;true;un elefante se balanceaba;(235) 222-6822;sector1;commite3;FISCAL
Jesus;8545;Male;2001-12-15;true;false;un elefante se balanceaba;(939) 653-8229;sector1;commite2;VOCAL
Isabelle;97720;Male;2007-05-05;true;true;un elefante se balanceaba;(418) 452-2041;sector1;commite2;TESORERO
Willie;76890;Female;2021-04-02;true;true;ave maria;(427) 295-6585;sector1;commite3;PRESIDENTE
Hallie;37470;Female;1989-11-22;true;false;ave maria;(265) 217-3124;sector2;commite1;VOCAL
Darrell;75635;Male;2013-02-18;false;false;un elefante se balanceaba;(779) 842-5928;sector2;commite2;FISCAL
Marie;27589;Female;2015-07-20;true;false;ave maria;(985) 853-2768;sector2;commite3;FISCAL
Elnora;48926;Female;2008-06-19;false;true;un elefante se balanceaba;(440) 903-6607;sector1;commite2;AUXILIAR
Lee;65454;Male;2002-08-06;false;false;el hacha;(768) 578-9945;sector1;commite1;SECRETARIO
Christina;36325;Male;1995-08-24;true;false;ave maria;(306) 782-4978;sector2;commite2;NINGUNO
Loretta;47265;Female;2013-11-09;true;false;ave maria;(324) 576-4183;sector2;commite1;SECRETARIO
Victor;91205;Female;2009-01-23;true;true;el hacha;(938) 845-4475;sector3;commite2;AUXILIAR
